anno,macroarea,fascia_eta,decessi
2015,centro,0_49,3698
2015,centro,50_64,10201
2015,centro,65_79,33057
2015,centro,80_plus,85542
2015,isole,0_49,2382
2015,isole,50_64,6320
2015,isole,65_79,18923
2015,isole,80_plus,41867
2015,nord,0_49,8130
2015,nord,50_64,22934
2015,nord,65_79,77545
2015,nord,80_plus,193720
2015,sud,0_49,4971
2015,sud,50_64,12991
2015,sud,65_79,38621
2015,sud,80_plus,85391
2016,centro,0_49,3562
2016,centro,50_64,9779
2016,centro,65_79,31622
2016,centro,80_plus,81734
2016,isole,0_49,2301
2016,isole,50_64,6067
2016,isole,65_79,18157
2016,isole,80_plus,39473
2016,nord,0_49,7696
2016,nord,50_64,21847
2016,nord,65_79,74032
2016,nord,80_plus,184015
2016,sud,0_49,4710
2016,sud,50_64,12524
2016,sud,65_79,36406
2016,sud,80_plus,80236
2017,centro,0_49,3439
2017,centro,50_64,9861
2017,centro,65_79,32509
2017,centro,80_plus,87691
2017,isole,0_49,2283
2017,isole,50_64,6115
2017,isole,65_79,19129
2017,isole,80_plus,43482
2017,nord,0_49,7490
2017,nord,50_64,22066
2017,nord,65_79,75231
2017,nord,80_plus,195673
2017,sud,0_49,4668
2017,sud,50_64,12931
2017,sud,65_79,38064
2017,sud,80_plus,87309
2018,centro,0_49,3219
2018,centro,50_64,9683
2018,centro,65_79,30747
2018,centro,80_plus,84120
2018,isole,0_49,2165
2018,isole,50_64,6202
2018,isole,65_79,18302
2018,isole,80_plus,41418
2018,nord,0_49,7497
2018,nord,50_64,22571
2018,nord,65_79,73755
2018,nord,80_plus,195585
2018,sud,0_49,4604
2018,sud,50_64,12717
2018,sud,65_79,36338
2018,sud,80_plus,82939
2019,centro,0_49,3047
2019,centro,50_64,9787
2019,centro,65_79,30196
2019,centro,80_plus,84974
2019,isole,0_49,2048
2019,isole,50_64,6061
2019,isole,65_79,18365
2019,isole,80_plus,42786
2019,nord,0_49,7149
2019,nord,50_64,22157
2019,nord,65_79,71543
2019,nord,80_plus,197581
2019,sud,0_49,4190
2019,sud,50_64,12518
2019,sud,65_79,35920
2019,sud,80_plus,85008
2020,centro,0_49,3007
2020,centro,50_64,10375
2020,centro,65_79,33403
2020,centro,80_plus,94244
2020,isole,0_49,2017
2020,isole,50_64,6693
2020,isole,65_79,19644
2020,isole,80_plus,45906
2020,nord,0_49,7160
2020,nord,50_64,25564
2020,nord,65_79,89787
2020,nord,80_plus,251035
2020,sud,0_49,4245
2020,sud,50_64,14159
2020,sud,65_79,40031
2020,sud,80_plus,92045
2021,centro,0_49,3145
2021,centro,50_64,10861
2021,centro,65_79,34009
2021,centro,80_plus,94466
2021,isole,0_49,2112
2021,isole,50_64,7153
2021,isole,65_79,20516
2021,isole,80_plus,47499
2021,nord,0_49,7012
2021,nord,50_64,24004
2021,nord,65_79,78519
2021,nord,80_plus,214057
2021,sud,0_49,4475
2021,sud,50_64,14894
2021,sud,65_79,42418
2021,sud,80_plus,95212
2022,centro,0_49,2873
2022,centro,50_64,10355
2022,centro,65_79,32706
2022,centro,80_plus,98295
2022,isole,0_49,2028
2022,isole,50_64,6861
2022,isole,65_79,20968
2022,isole,80_plus,50003
2022,nord,0_49,6855
2022,nord,50_64,23569
2022,nord,65_79,76425
2022,nord,80_plus,226100
2022,sud,0_49,4278
2022,sud,50_64,13842
2022,sud,65_79,41021
2022,sud,80_plus,97811
2023,centro,0_49,2901
2023,centro,50_64,10275
2023,centro,65_79,31773
2023,centro,80_plus,91911
2023,isole,0_49,2077
2023,isole,50_64,6685
2023,isole,65_79,20270
2023,isole,80_plus,46403
2023,nord,0_49,6633
2023,nord,50_64,22661
2023,nord,65_79,71071
2023,nord,80_plus,206957
2023,sud,0_49,4236
2023,sud,50_64,13666
2023,sud,65_79,40126
2023,sud,80_plus,92455
2024,centro,0_49,2884
2024,centro,50_64,9979
2024,centro,65_79,30768
2024,centro,80_plus,89868
2024,isole,0_49,1916
2024,isole,50_64,6406
2024,isole,65_79,19312
2024,isole,80_plus,43506
2024,nord,0_49,6176
2024,nord,50_64,21921
2024,nord,65_79,69079
2024,nord,80_plus,206022
2024,sud,0_49,3952
2024,sud,50_64,13147
2024,sud,65_79,38684
2024,sud,80_plus,88523
